Human	dog	mouse	rat	zebrafish
CHST6	"CHST4,CHST6"	"Chst5,Chst4"	"Chst5,Chst4"	zgc:194879
ITGAX	"ITGAX,ITGAD,LOC607096,ITGAM"	"Itgax,Itgad,Itgam"	"Itgax,Itgad,Itgam"	"si:dkey-32n7.4,itgam"
BCL2A1	BCL2A1	"Bcl2a1d,Gm29094,Bcl2a1a,Bcl2a1b,Bcl2a1c,Mthfs"	Bcl2a1	bcl2l10
RNU4-76P	U4	NO_ORTHO	NO_ORTHO	NO_ORTHO
ITGAV	"ITGA8,ITGA5,ITGAV"	"Itga8,Itga5,Itgav"	"Itga8,Itgav"	"itga5,itgav"
ITGAL	ITGAL	Itgal	Itgal	zmp:0000001082
ITGAM	"ITGAX,ITGAD,ITGAM,LOC607096"	"Itgax,Itgad,Itgam"	"Itgax,Itgad,Itgam"	"si:dkey-32n7.4,itgam,LOC563715"
ITGAD	"ITGAX,ITGAD,LOC607096,ITGAM"	"Itgax,Itgad,Itgam"	"Itgax,Itgad,Itgam"	"si:dkey-32n7.4,itgam"
SPR	"SPR,DECR1,HSDL2"	"Spr-ps1,Spr,Decr1,Hsdl2"	"Decr1,Spr,RGD1560795"	"decr1,sprb,spra,rdh20"
IGF2R	IGF2R	Igf2r	Igf2r	igf2r
CTD-2587H24.4	DNAAF3	Dnaaf3	Dnaaf3	"dnaaf3,LOC100536527"
SLC36A4	SLC36A4	Slc36a4	Slc36a4	"slc36a4,slc36a1"
SLC36A3	SLC36A3	Slc36a3	Slc36a3	"slc36a4,slc36a1"
CKS1B	CKS1B	"Cks1b,Cks1brt"	"Cks1l,Cks1b"	cks1b
SLC36A1	"SLC36A2,SLC36A1"	"Slc36a2,Slc36a1"	"Slc36a2,Slc36a1"	slc36a1
ARTN	ARTN	Artn	Artn	"artna,artnb"
ART1	ART1	Art1	Art1	"BX908804.1,si:ch73-379f5.5,CABZ01059913.1,art4,CABZ01059912.1,zmp:0000000997,CABZ01059914.1,CABZ01019905.2,CABZ01019905.1,si:ch211-51i16.3,si:ch211-51i16.1,si:ch211-145b13.6,si:ch211-163m16.7"
ART3	ART3	"Art3,Art2b"	"Art3,Art2b"	"BX908804.1,si:ch73-379f5.5,CABZ01059913.1,art4,CABZ01059912.1,si:ch211-163m16.7,si:ch211-145b13.6,CABZ01059914.1,CABZ01019905.2,CABZ01019905.1,si:ch211-51i16.3,si:ch211-51i16.1,zmp:0000000997"
ART5	ART5	"Art2b,Art5"	"Art2b,Art5"	"BX908804.1,si:ch73-379f5.5,CABZ01059913.1,art4,CABZ01059912.1,zmp:0000000997,CABZ01059914.1,CABZ01019905.2,CABZ01019905.1,si:ch211-51i16.3,si:ch211-51i16.1,si:ch211-145b13.6,si:ch211-163m16.7"
ART4	ART4	Art4	Art4	"BX908804.1,si:ch73-379f5.5,CABZ01059913.1,art4,LOC101884769,LOC100537553,CABZ01059912.1,zmp:0000000997,LOC795797,CABZ01059914.1,CABZ01019905.2,CABZ01019905.1,LOC101882582,LOC100329579,LOC100537504,LOC101882480,si:ch211-51i16.3,si:ch211-51i16.1,si:ch211-145b13.6,LOC100535828,si:ch211-163m16.7"
CRTAM	CRTAM	Crtam	Crtam	crtam
CADPS2	"CADPS2,CADPS"	"Cadps2,Cadps"	"Cadps2,Cadps"	"cadps2,cadpsa,cadpsb"
RLF	"RLF,ZNF292"	"Zfp292,Rlf"	Rlf	"rlf,znf292a,znf292b"
RNU6-590P	U6	NO_ORTHO	NO_ORTHO	NO_ORTHO
CRTAP	CRTAP	Crtap	"LOC102555086,Crtap"	"p3h4,crtap"
ADPGK	ADPGK	Adpgk	Adpgk	"adpgk2,adpgk"
CPEB4	"CPEB4,CPEB3,CPEB2"	"Cpeb4,Cpeb3,Cpeb2"	"Cpeb4,Cpeb3,Cpeb2"	"cpeb4,cpeb3,cpeb2"
CPEB1	CPEB1	Cpeb1	Cpeb1	"cpeb1a,cpeb1b"
CPEB3	"CPEB4,CPEB3,CPEB2"	"Cpeb4,Cpeb3,Cpeb2"	"Cpeb4,Cpeb3,Cpeb2"	"cpeb4,cpeb3,cpeb2"
CPEB2	"CPEB4,CPEB3,CPEB2"	"Cpeb4,Cpeb3,Cpeb2"	"Cpeb4,Cpeb3,Cpeb2"	"cpeb4,cpeb3,cpeb2"
SRBD1	SRBD1	Srbd1	Srbd1	"si:ch211-117n7.8,srbd1"
ABAT	ABAT	Abat	Abat	abat
POU5F1B	POU5F1	"Pou5f1,Pou5f2"	Pou5f1	pou5f3
PHOX2A	PHOX2A	Phox2a	"Phox2a,LOC100911889"	phox2a
PHOX2B	PHOX2B	Phox2b	"Phox2b,Obox2,LOC100911889"	"phox2ba,phox2bb"
UPK2	UPK2	Upk2	Upk2	NO_ORTHO
CFH	LOC478952	"Cfhr2,Cfhr1,Gm4788,Cfh"	"RGD1564614,LOC683745,Cfh"	"cfh,LOC100536554,f13b,si:ch73-217n20.1,LOC101884308,cfhl4,cfhl1,cfhl2,cfhl3"
CFI	"PRSS33,CFI"	Cfi	Cfi	"zmp:0000001114,CFI,st14b,st14a,cfi"
ANKFY1	ANKFY1	Ankfy1	Ankfy1	ankfy1
CFB	"C2,CFB"	"Gm20547,Cfb"	Cfb	"bfb,cfb,zgc:158446,LOC563828"
CFP	CFP	Cfp	Cfp	"si:ch73-237c6.1,cfp"
RNU5B-1	U5	"Gm25313,Gm24043"	U5	NO_ORTHO
AAAS	AAAS	Aaas	Aaas	aaas
RNU6-767P	U6	NO_ORTHO	U6	NO_ORTHO
SIDT1	"SIDT1,SIDT2"	"Sidt1,Sidt2"	"Sidt1,Sidt2"	sidt2
SIDT2	"SIDT1,SIDT2"	"Sidt1,Sidt2"	"Sidt1,Sidt2"	sidt2
PISRT1	NO_ORTHO	Gm27919	NO_ORTHO	NO_ORTHO
SAGE1	"DDX26B,INTS6"	"Ddx26b,Ints6"	NO_ORTHO	ddx26b
AAGAB	AAGAB	Aagab	Aagab	aagab
C4orf19	"C4orf19,C3H4orf19"	0610040J01Rik	LOC498368	NO_ORTHO
AL096700.1	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
C4orf17	C32H4orf17	4930579F01Rik	RGD1309170	NO_ORTHO
CDH26	CDH26	Cdh26	Cdh26	"cdh26.2,LOC101882238,cdh26.1,cdh27"
RNU6-67P	U6	"Gm23627,Gm24870,Gm26204,Gm22352,Gm25450,Gm26324,Gm23410"	NO_ORTHO	NO_ORTHO
RNU6-219P	U6	Gm22808	NO_ORTHO	NO_ORTHO
RFPL4AL1	RFPL4A	Rfpl4	Rfpl4a	"btr01,btr02,btr05,btr04,btr07,btr06,btr09,zgc:173581,btr25,btr24,btr23,btr22,btr21,btr20,trim107,si:ch211-28p3.4,si:ch73-364h19.2,si:ch211-247l8.8,btr26,LOC571944,LOC100000832,btr18,btr12,btr19,btr16,CR846090.1,btr30,btr31,btr32,btr33,LOC100006636,LOC103909280,si:ch211-247l8.10,si:dkey-206d17.15,si:dkey-206d17.16,si:dkey-18p12.4,si:ch211-114c12.5,si:dkey-219e21.2,btr29,zgc:194990,si:ch211-120g10.1"
RNU6ATAC39P	U6atac	Gm22534	U6atac	NO_ORTHO
ABCE1	ABCE1	Abce1	Abce1	abce1
TEN1-CDK3	CDK3	Cdk3-ps	NO_ORTHO	NO_ORTHO
MKRN2OS	LOC100688322	Mkrn2os	Mkrn2os	"LOC100149633,LOC100150803"
MSL3P1	NO_ORTHO	NO_ORTHO	Msl3l2	NO_ORTHO
NCBP2-AS2	NO_ORTHO	NCBP2-AS2	NO_ORTHO	si:ch211-162e15.3
C15orf26	C3H15orf26	1700026D08Rik	RGD1310371	zgc:110373
C15orf27	"C15orf27,LOC487670"	AI118078	RGD1562084	zgc:158624
RNU6-163P	U6	NO_ORTHO	NO_ORTHO	NO_ORTHO
ZNF117	"LOC482273,LOC484323"	"Zfp493,Zfp595,Zfp85,Zfp87,Rsl1,Zfp455,Zfp457,Zfp456,Zfp729a,Zfp458,Zfp429,Zfp874a,Zfp874b,Zfp953,Zfp72,Gm28557,Zfp58,Zfp708,Zfp11,Gm9894,Rslcan18,Zfp273,Zfp65"	"Zfp455,LOC100360380,LOC102547287,LOC680200,LOC501406,Rsl1,AABR07001099.1"	"znf1093,CR847941.1,si:dkey-40n15.2,si:dkeyp-85d8.5,si:ch1073-186o8.3,znf1026,si:dkey-261j4.5,zgc:174646,znf1007,znf1004,znf1000,znf1001,si:dkey-285e18.5,znf1008,znf994,znf974,znf975,znf976,znf977,znf1028,znf1029,znf1025,znf1123,znf1027,znf1020,znf1124,znf1022,zmp:0000001321,zgc:173573,znf978,LOC101886989,LOC100534979,zmp:0000000981,si:dkey-14o6.4,si:ch211-152l15.2,BX324216.1,LOC100332443,si:dkey-7j22.3,unm_sa1665,si:ch211-162i8.5,si:dkey-14o6.8,si:dkey-40j3.3,si:ch211-152l15.3,znf986,si:ch211-197e7.3,znf1033,znf1139,si:ch211-229l10.11,znf1009,si:ch211-223a21.1,si:ch211-223a21.6,LOC100535697,si:ch211-187d1.2,znf982,znf1010,znf1013,znf1034,znf1015,znf1014,znf983,si:ch73-138e16.3"
ZNF114	ZNF114	NO_ORTHO	NO_ORTHO	ZNF557
ZNF112	"ZFP112,ZNF226"	Zfp112	Zfp112	"CR847941.1,si:ch73-367f21.6,si:ch73-367f21.4,si:ch1073-186o8.3,si:dkey-261j4.5,si:dkey-77f5.8,znf1007,znf1004,znf1000,znf1001,znf1008,znf1009,znf1028,znf1029,unm_sa1665,znf1026,znf1027,znf1020,znf1124,znf1022,zmp:0000001321,zgc:173573,LOC101886989,si:dkey-7j22.3,zmp:0000000981,si:ch211-152l15.3,zgc:66448,LOC100332443,zgc:162972,si:ch73-367f21.5,znf1025,si:dkey-182i3.9,si:dkey-182i3.8,si:ch1073-127d16.1,znf1015,si:ch211-202h22.10,si:ch211-229l10.11,BX324216.1,LOC100535697,znf1010,znf1013,znf1034,znf1033,znf1014,znf983,znf982"
SEZ6L	"SEZ6,SEZ6L2,SEZ6L"	"Sez6,Sez6l"	"Sez6,Sez6l2,Sez6l"	"sez6b,sez6l2,sez6l"
AL031653.1	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
PRKAR2A	"PRKAR2A,PRKAR2B"	Prkar2a	Prkar2a	"PRKAR2B,prkar2aa,prkar2ab"
PRKAR2B	"PRKAR2A,PRKAR2B"	"Prkar2a,Prkar2b"	"Prkar2a,Prkar2b"	"PRKAR2B,prkar2b,prkar2aa,prkar2ab"
MAGT1	"MAGT1,TUSC3"	"Magt1,Tusc3"	"Magt1,Tusc3"	"magt1,tusc3"
S1PR4	S1PR4	S1pr4	S1pr4	s1pr4
RNU7-104P	U7	NO_ORTHO	NO_ORTHO	NO_ORTHO
ITGA2B	"ITGA8,ITGA2B"	"Itga8,Itga2b,Itga5,Itgav"	"Itga8,Itga2b"	"itga2b,itga5,itgav"
PHACTR4	PHACTR4	Phactr4	Phactr4	"phactr4b,phactr4a"
NLGN2	"NLGN4X,NLGN2,NLGN3,NLGN1"	"Nlgn2,Nlgn1"	"Nlgn2,Nlgn3"	"nlgn3b,nlgn1,nlgn2a,nlgn4b,nlgn2b"
NLGN3	"NLGN4X,NLGN2,NLGN3,NLGN1"	"Nlgn2,Nlgn3,Nlgn1"	"Nlgn3,Nlgn1"	"nlgn3b,nlgn1,nlgn3a,nlgn4b,nlgn4a,nlgn2a,nlgn2b"
PHACTR3	PHACTR3	Phactr3	Phactr3	"phactr3b,phactr3a"
NUP107	NUP107	Nup107	Nup107	nup107
KRTAP2-3	"LOC608045,LOC100685403,LOC102157302,LOC100685322"	"Gm11562,Gm11937,Gm11938,Krtap2-4"	"Krtap2-4l,RGD1561684,RGD1561281,Krtap2-4"	NO_ORTHO
KRTAP2-2	NO_ORTHO	"Gm11562,Gm11937,Gm11938,Krtap2-4"	"Krtap2-4l,RGD1561684,RGD1561281,Krtap2-4"	NO_ORTHO
KRTAP2-1	NO_ORTHO	"Gm11562,Gm11937,Gm11938,Krtap2-4"	"Krtap2-4l,RGD1561684,RGD1561281,Krtap2-4"	NO_ORTHO
KRTAP2-4	"LOC608045,LOC100685403,LOC102157302,LOC100685322"	"Gm11562,Gm11937,Gm11938,Krtap2-4"	"Krtap2-4l,RGD1561684,RGD1561281,Krtap2-4"	NO_ORTHO
RNU6-1051P	NO_ORTHO	"Gm24211,Gm26143"	U6	NO_ORTHO
VMP1	VMP1	Vmp1	Vmp1	vmp1
NR1D1	"NR1D1,NR1D2"	"Nr1d1,Nr1d2"	"Nr1d1,Nr1d2"	"nr1d2b,nr1d1,nr1d2a,nr1d4a,nr1d4b"
NR1D2	"NR1D1,NR1D2"	"Nr1d1,Nr1d2"	"Nr1d1,Nr1d2"	"nr1d2b,nr1d2a,nr1d4a,nr1d1,nr1d4b"
RNU6-471P	NO_ORTHO	Gm24630	NO_ORTHO	NO_ORTHO
RNU6-356P	U6	Gm23453	U6	NO_ORTHO
OGFR	OGFR	Ogfr	Ogfr	"zgc:162182,ogfrl2,LOC799881,ogfr"
PTCH2	"PTCH2,PTCH1"	"Ptch2,Ptch1"	Ptch1	"ptch2,ptch1"
PTCH1	"PTCH2,PTCH1"	"Ptch2,Ptch1"	Ptch1	"ptch2,ptch1"
TIMM44	TIMM44	Timm44	Timm44	timm44
RNU6-338P	U6	Gm25431	NO_ORTHO	U6
RAD9A	RAD9A	Rad9a	Rad9a	"rad9b,rad9a"
ERGIC2	ERGIC2	Ergic2	Ergic2	"si:ch211-225b10.3,ergic2"
ERGIC3	ERGIC3	Ergic3	Ergic3	ergic3
ERGIC1	ERGIC1	Ergic1	Ergic1	ergic1
B3GAT3	B3GAT3	B3gat3	B3gat3	"b3gat3,LOC100332644,b3gat1a"
B3GAT2	B3GAT2	B3gat2	B3gat2	b3gat2
B3GAT1	B3GAT1	B3gat1	B3gat1	"b3gat3,b3gat1b,b3gat1a,LOC100332644"
RNU6-238P	U6	Gm22608	NO_ORTHO	NO_ORTHO
CALM2	"CALM2,CALM3,CALM1"	"Calm2,Calm3,Calm1"	"Calm2,Calm3,Calm1"	"calm1a,calm1b,calm2a,calm2b,calm3a,calm3b"
CALM3	"CALM2,CALM3,CALM1"	"Calm2,Calm3,Calm1"	"Calm2,Calm3,Calm1"	"calm1a,calm1b,calm3b,calm2a,calm3a"
SPG21	SPG21	Spg21	Spg21	spg21
CALM1	"CALM2,CALM3,CALM1"	"Calm2,Calm3,Calm1"	"Calm2,Calm3,Calm1"	"calm1a,calm2a,calm3b,calm1b,calm3a"
GSDMA	GSDMA	"Gsdma2,Gsdma,Gsdma3"	Gsdma	dfna5b
GSDMB	GSDMB	NO_ORTHO	NO_ORTHO	NO_ORTHO
GSDMC	"GSDMC,LOC609825"	"Gsdmc4,Gsdmc,Gsdmc2,Gsdmc3"	Gsdmc	"dfna5a,dfna5b"
GSDMD	GSDMD	Gsdmd	Gsdmd	dfna5b
UPK1A	"UPK1A,ROM1"	"Upk1a,Rom1"	"Upk1a,Rom1"	upk1a
UPK1B	"UPK1B,ROM1"	"Upk1b,Rom1"	"Upk1b,Rom1"	NO_ORTHO
DLGAP2	"DLGAP2,DLGAP1"	Dlgap2	Dlgap2	"dlgap2a,DLGAP2 (2 of 3),dlgap2b"
DLGAP3	"DLGAP2,DLGAP3,DLGAP1"	Dlgap3	Dlgap3	"dlgap3,dlgap2a"
DLGAP1	"DLGAP2,DLGAP1"	"Dlgap1,Dlgap4"	"Dlgap1,Dlgap4"	"dlgap1a,dlgap1b,dlgap2a"
DLGAP4	"DLGAP2,DLGAP1,DLGAP4"	Dlgap4	"Dlgap1,Dlgap4"	"dlgap4b,dlgap4a"
DLGAP5	DLGAP5	Dlgap5	"Rfwd2,Dlgap5"	dlgap5
FBXL14	FBXL14	Fbxl14	Fbxl14	"fbxl14b,fbxl14a"
OIP5	OIP5	Oip5	Oip5	oip5
FBXL19	FBXL19	Fbxl19	Fbxl19	zgc:158376
INO80B-WBP1	INO80B	Ino80b	"NEWGENE_1562258,Ino80b"	ino80b
MIR507	NO_ORTHO	NO_ORTHO	NO_ORTHO	NO_ORTHO
PTPN18	PTPN18	Ptpn18	Ptpn18	ptpn18
LRRFIP2	"LRRFIP1,LRRFIP2"	Lrrfip2	Lrrfip2	"lrrfip1b,lrrfip2"
PTPN13	PTPN13	Ptpn13	Ptpn13	ptpn13
PTPN12	PTPN12	Ptpn12	Ptpn12	"ptpn22,ptpn12"
PTPN11	"PTPN11,PTPN6"	"Ptpn11,Ptpn6"	"Ptpn11,Ptpn6"	"ptpn11b,ptpn11a"
RNU6-960P	U6	Gm22606	U6	NO_ORTHO
PTPN14	"PTPN21,PTPN14"	"Ptpn21,Ptpn14"	"Ptpn20,Ptpn14"	ptpn21
LYAR	LYAR	Lyar	Lyar	lyar
C2orf81	C17H2orf81	1700003E16Rik	LOC500227	NO_ORTHO
C2orf80	C2orf80	"Gm28845,D630023F18Rik"	AABR07067896.1	NO_ORTHO
DMRTB1	DMRTB1	Dmrtb1	Dmrtb1	NO_ORTHO
C2orf82	"C25H2orf82,C2orf82"	3110079O15Rik	NO_ORTHO	si:dkeyp-12a9.5
SNORA84	SNORA84	"Gm23513,Gm25989,Gm25394"	SNORA84	SNORA84
C2orf88	C37H2orf88	1700019D03Rik	"LOC102556334,LOC685203"	NO_ORTHO
MSMP	MSMP	Msmp	LOC100365008	"si:ch1073-70f20.1,msmp"
MZB1	MZB1	Mzb1	Mzb1	NO_ORTHO
TRAPPC6B	TRAPPC6B	Trappc6b	Trappc6b	"trappc6b,trappc6bl"
RNU4-56P	NO_ORTHO	NO_ORTHO	NO_ORTHO	U4
HLA-DQB1	"DLA-DQB1,LOC100856137"	H2-Ab1	RT1-Bb	"si:busm1-104n07.3,zmp:0000001138,mhc2dab,si:zfos-2070c2.3,mhc2dcb,wu:fd58b11,si:dkey-33b17.3,mhc2dbb,si:busm1-228j01.6,LOC103911540,si:busm1-194e12.12"
MSMB	NO_ORTHO	Msmb	Msmb	NO_ORTHO
HLA-DQB2	"HLA-DPB1,HLA-DRB1,LOC100856137"	"H2-Ab1,H2-Eb1"	"RT1-Bb,RT1-Db1"	"si:busm1-104n07.3,zmp:0000001138,mhc2dab,si:zfos-2070c2.3,mhc2dcb,wu:fd58b11,si:dkey-33b17.3,mhc2dbb,si:busm1-228j01.6,LOC103911540,si:busm1-194e12.12"
CDK7	CDK7	Cdk7	Cdk7	cdk7
FOXS1	FOXS1	Foxs1	Foxs1	NO_ORTHO
CDK9	CDK9	Cdk9	Cdk9	cdk9
CAMKK2	"CAMKK2,CAMKK1"	"Camkk2,Camkk1"	"Camkk2,Camkk1"	"camkk1b,camkk1a,CAMKK2,camkk2"
CAMKK1	"CAMKK2,CAMKK1"	"Camkk2,Camkk1"	"Camkk2,Camkk1"	"camkk1b,camkk1a"
MYDGF	MYDGF	Mydgf	Mydgf	"LOC566052,mydgf"
RNU6-938P	U6	NO_ORTHO	U6	NO_ORTHO
CHMP3	NO_ORTHO	Chmp3	Chmp3	chmp3
RPL36AL	"LOC610388,LOC102157323,LOC102156556,LOC480311,LOC100688104,LOC100687687"	"Rpl36a,Rpl36al,Gm6525"	"Rpl36a,LOC100912182,LOC100911426,LOC100910714,LOC100910180,Rpl36al,RGD1563431,RGD1566373"	rpl36a
CHMP7	CHMP7	Chmp7	Chmp7	chmp7
CHMP6	CHMP6	Chmp6	Chmp6	"LOC100147988,chmp6b,chmp6a"
CHMP5	CHMP5	Chmp5	Chmp5	"chmp5b,chmp5a"
OR52N4	"LOC485295,LOC485294,cOR52N8,cOR52N9,OR52N1,cOR52X2,LOC485302"	"Olfr668,Olfr686,Olfr666,Olfr667,Olfr503,Olfr659,Olfr658"	"LOC100910075,Olr164,Olr165,Olr163,Olr160,Olr197,LOC100910804,Olr159"	NO_ORTHO
OR52N5	cOR52X2	"Olfr686,Olfr669"	Olr197	"or111-2,or111-3,or111-6,or110-1,or111-4,or111-5,or104-2,or106-10,or106-1,or109-1,or105-1,or111-11,or103-1,or108-3,or109-11,or102-2,or109-13,or103-2"
OR52N2	"LOC485295,LOC485294,cOR52N8,cOR52N9,OR52N1,cOR52X2,LOC485302"	"Olfr668,Olfr686,Olfr665,Olfr666,Olfr667,Olfr503,Olfr659,Olfr658"	"Olr175,Olr174,Olr164,Olr176,Olr163,Olr159,Olr172,Olr197,Olr165,Olr160"	NO_ORTHO
OR52N1	"LOC485295,LOC485294,cOR52N8,cOR52N9,OR52N1,cOR52X2,LOC485302"	"Olfr668,Olfr669,Olfr666,Olfr667,Olfr503,Olfr659,Olfr658,Olfr686"	"Olr160,Olr164,Olr165,Olr170,Olr159,LOC100909686,Olr197,Olr163"	NO_ORTHO
LY6G6C	LY6G6C	"Pate4,Ly6g6c"	Ly6g6c	NO_ORTHO
HOXA13	HOXA13	Hoxa13	"LOC100910298,Hoxa13,LOC102550333"	"hoxd13a,hoxb13a,hoxa13a,hoxc13b,hoxc13a,hoxa13b"
LY6G6E	LOC102154767	Ly6g6e	Ly6g6e	NO_ORTHO
HOXA11	HOXA11	Hoxa11	"LOC100909443,NEWGENE_1564605,LOC100911743,Hoxa11"	"hoxa11b,hoxa11a,hoxd11a"
HOXA10	HOXA10	Hoxa10	"LOC100911668,LOC100909714,LOC100912608,Hoxa10"	"hoxa10ap,hoxa10b"
GALNTL5	"GALNTL5,GALNT15,GALNT12,GALNT10,WBSCR17,GALNT11,GALNT18,GALNTL6,GALNT8,GALNT9,GALNT5,GALNT6,GALNT7,LOC102152620,GALNT3"	"Galntl5,Galnt15,Galnt12,Wbscr17,Galnt10,Galnt11,Galnt18,Galntl6,Galnt9,Galnt4,Galnt5,Galnt6,Galnt7,Galnt3"	"Galntl5,Galntl6,Galnt12,Galnt10,Wbscr17,Galnt11,Galnt18,Galnt15,Galnt9,Galnt5,Galnt6,Galnt7,Galnt3"	"poc1bl,wbscr17,galnt10,galnt11,galnt8b.1,si:ch211-15e22.3,galnt18b,galnt18a,galnt9,galnt8a.1,galnt6,galnt7,galnt8a.2"
GALNTL6	"GALNTL6,GALNT10"	"Galntl6,Galnt10"	"Galntl6,Galnt10"	si:ch211-15e22.3
RNU6-1092P	NO_ORTHO	"Gm24517,Gm25371"	NO_ORTHO	NO_ORTHO
TDH	"GMDS,LOC477365"	"Gmds,Tdh"	"Gmds,Tdh"	"tdh,gmds"
KRTAP11-1	"KRTAP11-1,LOC100686358"	Krtap11-1	Krtap11-1	NO_ORTHO
TDG	TDG	"Tdg,Tdg-ps"	Tdg	"LOC558951,tdg.1,tdg.2"
HN1	HN1	Hn1	Hn1	"hn1a,hn1b"
RNU6-1329P	U6	Gm22608	U6	NO_ORTHO
GOLGA8IP	NO_ORTHO	Golga2	NO_ORTHO	NO_ORTHO
LOXHD1	LOXHD1	Loxhd1	Loxhd1	"loxhd1a,loxhd1b"
LRRC26	LRRC26	Lrrc26	Lrrc26	NO_ORTHO
KIAA1524	KIAA1524	C330027C09Rik	RGD1310335	zgc:174160
LRRC24	LRRC24	Lrrc24	Lrrc24	lrrc24
KIAA1522	KIAA1522	C77080	RGD1561149	"si:ch211-194e15.5,si:dkey-157l19.2"
MPDU1	MPDU1	Mpdu1	Mpdu1	"mpdu1b,mpdu1a"
LRRC20	LRRC20	Lrrc20	Lrrc20	lrrc20
LRRC29	LRRC29	Lrrc29	Lrrc29	lrrc29
LRRC28	LRRC28	Lrrc28	Lrrc28	lrrc28
GCNT4	GCNT4	Gcnt4	Gcnt4	"gcnt4b,si:dkeyp-87d8.8,gcnt4a"
GCNT7	GCNT7	Gcnt7	Gcnt7	gcnt7
GCNT1	GCNT1	Gcnt1	Gcnt1	gcnt3
GCNT3	GCNT3	Gcnt3	Gcnt3	gcnt3
GCNT2	LOC488215	Gcnt2	"LOC689092,Gcnt2"	gcnt7
LPCAT4	LPCAT4	Lpcat4	Lpcat4	lpcat4
LPCAT2	"LPCAT2,LPCAT1"	"Lpcat2,Lpcat1"	"Lpcat2,Lpcat1"	lpcat2
LPCAT3	LPCAT3	Lpcat3	Lpcat3	lpcat3
LPCAT1	"LPCAT2,LPCAT1"	"Lpcat2,Lpcat1"	"Lpcat2,Lpcat1"	lpcat1
RNU6-1021P	NO_ORTHO	Gm22148	NO_ORTHO	NO_ORTHO
TAGLN	TAGLN	Tagln	Tagln	"tagln3a,tagln2,tagln3b,tagln"
CCDC178	CCDC178	Ccdc178	Ccdc178	"ccdc178,si:dkeyp-7a3.1"
CCDC179	CCDC179	1700015G11Rik	Ccdc179	NO_ORTHO
ALPP	ALPP	"Alpi,Akp3,Alppl2"	"Alpi,Alpp,Akp3,Alppl2"	"alpi.2,alp3,alpi.1,alpl"
